成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,ユーザ,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
,,,cord_user,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目,,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
"ユーザに関するデータが保存されている。
ユーザIDはOracle sequenceと日付の組合わせにより発生する。
YYMMDDNNN形式とし、NNNの部分にOracle sequenceにより発生した数値の下3桁を入れ、YYMMDDの部分は西暦日付とする。
YYMMの部分の先頭のゼロは付けない。ユーザ名はバンク・管理者の場合には英字名にする
注1) 種別毎の値は以下の通り　4=管理者, 5=バンク",,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,1:物理登録、2:物理更新、3:物理削除,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,◎,○
12 ,バンクID,bankid,NUMBER,3,,,,,,,,,,,,,バンクユーザの場合は必須,,,,,○,○,,,○,○
13 ,ユーザ名,user_name,VARCHAR2,12,,,,,,1,,○,,,,,既存ユーザは、ユーザIDを引き継ぐ,,,,,○,○,,,○,○
14 ,パスワード,passwd,VARCHAR2,16,,,,,,,,○,,,,,,,,,,○,○,,,○,○
15 ,機関名称,org_name,VARCHAR2,80,,,,,,,,,,,全角文字,,,,,,,○,○,,,○,○
16 ,所属,empname,VARCHAR2,60,,,,,,,,,,,全角文字,,,,,,,○,○,,,○,○
17 ,担当者,person,VARCHAR2,36,,,,,,,,,,,,,,,,,,○,○,,,○,○
18 ,ふりがな,furigana,VARCHAR2,42,,,,,,,,,,,,,,,,,,○,○,,,○,○
19 ,電話番号,tel_num1,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
20 ,内線番号,tel_num2,VARCHAR2,10,,,,,,,,,,,,,,,,,,○,○,,,○,○
21 ,FAX番号,fax_num,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
22 ,郵便番号,zip_code,VARCHAR2,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
23 ,住所,address1,VARCHAR2,80,,,,,,,,,,,全角文字,,,,,,,○,○,,,○,○
24 ,ビル名等,address2,VARCHAR2,60,,,,,,,,,,,全角文字,,,,,,,○,○,,,○,○
25 ,E-Mailアドレス,e_mail1,VARCHAR2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
26 ,Mailアドレス2,e_mail2,VARCHAR2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
27 ,Mailアドレス3,e_mail3,VARCHAR2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
28 ,Mailアドレス4,e_mail4,VARCHAR2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
29 ,Mailアドレス5,e_mail5,VARCHAR2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
30 ,種別,kind,NUMBER,2,,,,,,,,○,,,,,"4=管理者, 5=バンク",,,,,○,○,,,○,○
31 ,備考,note,VARCHAR2,80,,,,,,,,,,,全角文字,,,,,,,○,○,,,○,○
32 ,ユーザ情報,id_info,VARCHAR2,16,,,,,,,,○,,,,,,,,,,○,○,,,○,○
33 ,ロックフラグ,lock_flag,NUMBER,2,,,,,,,,,0,,,,0=ロックしていない、1=ロックしている,,,,,○,○,,,○,○
34 ,ロック日時,lock_time,DATE,,,,,,,,,,null,,,,,,,,,○,○,,,○,○
35 ,ロック回数,lock_cnt,NUMBER,2,,,,,,,,,0,,,,,,,,,○,○,,,○,○
36 ,パスワード更新日,pass_upd_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
