成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,患者,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
,,,recip,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
"患者に関する最新データが保存されている。
患者IDはOracle sequenceにより発生する。
ユニークインデックスを構成する識別番号以外の項目の値の組合わせが同じ場合のみ、識別番号に0でない数値が入る。",,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,○,○
12 ,生年月日,birthday,DATE,,,,,,,1,,○,,,,,,,,,,○,○,,,○,○
13 ,HLA-A(1),hla_a1,NUMBER,8,,,,,,2,,○,,,,,対応するDNA型が入っていても必須,,,,,○,○,,,○,○
14 ,HLA-A(2),hla_a2,NUMBER,8,,,,,,3,,○,,,,,対応するDNA型が入っていても必須,,,,,○,○,,,○,○
15 ,HLA-B(1),hla_b1,NUMBER,8,,,,,,4,,○,,,,,対応するDNA型が入っていても必須,,,,,○,○,,,○,○
16 ,HLA-B(2),hla_b2,NUMBER,8,,,,,,5,,○,,,,,対応するDNA型が入っていても必須,,,,,○,○,,,○,○
17 ,HLA-DR(1),hla_dr1,NUMBER,8,,,,,,6,,○,,,,,対応するDNA型が入っていても必須,,,,,○,○,,,○,○
18 ,HLA-DR(2),hla_dr2,NUMBER,8,,,,,,7,,○,,,,,対応するDNA型が入っていても必須,,,,,○,○,,,○,○
19 ,ABO血液型,blood_abo,VARCHAR2,2,,,,,,8,,○,,,,,"A, B, O, AB",,,,,○,○,,,○,○
20 ,Rh血液型,blood_rh,VARCHAR2,1,,,,,,9,,○,,,,,"+, -",,,,,○,○,,,○,○
