成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,状態履歴,,,,,,,,1/1,,,,NIS+,,2019/5/17,,2.0 ,,,○,対象項目,,,,
,,,state,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
"臍帯血の現在の状態でさい帯血と患者との組み合わせに関するデータが保存されている。
",,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,○,○
12 ,患者ID,recipid,NUMBER,16,,,,,,,,,,,,,患者のrecid,,,,,○,○,,,○,○
13 ,さい帯血ID,cordid,NUMBER,16,,,,,,,,○,,,,,さい帯血のrecid,,,,,○,○,,,○,○
14 ,更新ユーザID,user_id,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
15 ,申込日,reserve_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
16 ,取消日,cancel_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
17 ,供給年月日,supply_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
18 ,供給病院,supply_hosp,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
19 ,施設コード,hosp_code,VARCHAR2,20,,,,,,,,,,,,,,,,,,○,○,,,○,○
20 ,適合ランク,rank,VARCHAR2,3,,,,,,,,,,,,,適合ランク廃止とするが、旧データがあるため項目は維持する。,,,,,○,○,,,○,○
21 ,施設ユーザID,userid,NUMBER,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
22 ,カクテル移植フラグ,cocktail,NUMBER,1,,,,,,,,,,,,,"0=通常移植, 1=カクテル移植",,,,,○,○,,,○,○
23 ,検索数,search_number,NUMBER,1,,,,,,,,,,,,,コードマッチ時の検索数。6 or 8(新システム),,,,,○,○,,,○,○
24 ,適合数,fit_number,NUMBER,1,,,,,,,,,,,,,コードマッチ時の適合した数。0～8(新システム),,,,,○,○,,,○,○
