成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,システム,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
,,,system,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
"システムで固有のパラメータが保存されている。
項目名と値でパラメータを設定する",,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,○,○
12 ,有効フラグ,available,NUMBER,1,,,,,,,,,,,,,"1=有効, 0=履歴データ",,,,,○,○,,,○,○
13 ,項目名,item_name,VARCHAR2,32,,,,,,1,,○,,,,,,,,,,○,○,,,○,○
14 ,項目値,item_value,VARCHAR2,32,,,,,,,,,,,,,,,,,,○,○,,,○,○
15 ,備考,item_note,VARCHAR2,80,,,,,,,,,,,,,,,,,,○,○,,,○,○
