成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,臍帯血,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
,,,cord,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
"臍帯血に関する最新データが保存されている。
バンクから送られてくる実数型データは、整数として保存する。",,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,◎,○
12 ,バンクコード,bankid,NUMBER,3,,,,,,1,,○,,,,,現行値,,,,,○,○,,,○,○
13 ,バンク内管理番号,bank_no,VARCHAR2,16,,,,,,2,,○,,,,,現行値,,,,,○,○,,,○,○
14 ,調整バンクコード,receipt_bankid,NUMBER,3,,,,,,3,,,,,,,受付時値,,,,,○,○,,,○,○
15 ,調整バンク内管理番号,receipt_bank_no,VARCHAR2,16,,,,,,,,,,,,,使用しない,,,,,○,○,,,○,○
16 ,登録状態,reg_stat,NUMBER,2,,,,,,,,,,,,,0=公開、1=申込、3=申込確定、8=公開取消、9=供給、10=移植実施報告、4=オンライン申込,,,,,○,○,,,○,○
17 ,HLA-A(1),hla_a1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
18 ,HLA-A(2),hla_a2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
19 ,HLA-B(1),hla_b1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
20 ,HLA-B(2),hla_b2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
21 ,HLA-Cw(1),hla_cw1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
22 ,HLA-Cw(2),hla_cw2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
23 ,HLA-DR(1),hla_dr1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
24 ,HLA-DR(2),hla_dr2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
25 ,HLA-DQ(1),hla_dq1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
26 ,HLA-DQ(2),hla_dq2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
27 ,A(1),a_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
28 ,A(2),a_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
29 ,B(1),b_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
30 ,B(2),b_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
31 ,C(1),c_1,NUMBER,8,,,,,,,,,,,,,×,,,,,○,○,,,○,○
32 ,C(2),c_2,NUMBER,8,,,,,,,,,,,,,×,,,,,○,○,,,○,○
33 ,DRB1(1),drb1_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
34 ,DRB1(2),drb1_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
