成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,予約検索患者,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
,,,recip_reserv,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
"予約検索用の患者に関する最新データが保存されている。
予約患者IDはOracle sequenceにより発生する。
",,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,○,○
12 ,生年月日,birthday,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
13 ,HLA-A(1),hla_a1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
14 ,HLA-A(2),hla_a2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
15 ,HLA-B(1),hla_b1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
16 ,HLA-B(2),hla_b2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
17 ,HLA-DR(1),hla_dr1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
18 ,HLA-DR(2),hla_dr2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
19 ,ABO血液型,blood_abo,VARCHAR2,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
20 ,Rh血液型,blood_rh,VARCHAR2,1,,,,,,,,,,,,,,,,,,○,○,,,○,○
21 ,性別,sex,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
22 ,最新取消日,cancel_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
23 ,最古申込日,reserve_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
24 ,受理フラグ,accept,NUMBER,2,,,,,,,,,,,,,1=受理した、0=未受理,,,,,○,○,,,○,○
25 ,体重,weight,NUMBER,3,,,,,,,,,,,,,kg,,,,,○,○,,,○,○
26 ,適合抗原数,match_num,NUMBER,2,,,,,,,,,,,,,"4,5,6",,,,,○,○,,,○,○
27 ,検索結果整列順,result_sort,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
28 ,検索結果表示数,result_num,NUMBER,4,,,,,,,,,,,,,,,,,,○,○,,,○,○
29 ,施設ユーザID,userid,NUMBER,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
30 ,備考,note,VARCHAR2,20,,,,,,,,,,,,,,,,,,○,○,,,○,○
31 ,HLA-Cw(1),hla_cw1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
32 ,HLA-Cw(2),hla_cw2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
33 ,HLA-DQ(1),hla_dq1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
34 ,HLA-DQ(2),hla_dq2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
35 ,A(1),a_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
36 ,A(2),a_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
37 ,B(1),b_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
38 ,B(2),b_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
39 ,C(1),c_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
40 ,C(2),c_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
41 ,DRB1(1),drb1_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
42 ,DRB1(2),drb1_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
43 ,DQB1(1),dqb1_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
44 ,DQB1(2),dqb1_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
