成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,さい帯血本数履歴,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.1 ,,,○,対象項目,,,,
,,,stat_hist,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
過去の日付毎のバンク別状態別さい帯血本数を記録する,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,○,○
12 ,集計年月日,stat_date,date,,,,,,,1,,○,,,,,年月日まで利用,,,,,○,○,,,○,○
13 ,バンクコード,bankid,number,16,,,,,,2,,○,,,,,,,,,,○,○,,,○,○
14 ,バンク名,bank_name,VARCHAR2,10,,,,,,,,,,,,,,,,,,○,○,,,○,○
15 ,公開本数,num00,number,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
16 ,申込本数,num01,number,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
17 ,申込確定本数,num03,number,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
18 ,オンライン申込本数,num04,number,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
19 ,公開取消本数,num08,number,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
20 ,供給本数,num09,number,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
21 ,移植実施報告本数,num10,number,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
22 ,バンク並び順,row_nth,number,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
