成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,TRUMPエラーコメント,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.1 ,,,○,対象項目,,,,
,,,trump_err_comment,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
バンク名と管理番号が対応していないエラーデータに正しいと推測されるバンク名、管理番号を対応づける,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,○,○
12 ,TRUMP-ID,trumpid,number,16,,,,,,1,,○,,,,,trump_masterのrecid,,,,,○,○,,,○,○
13 ,連番,nth,number,4,,,,,,2,,○,,,,,,,,,,○,○,,,○,○
14 ,バンク名1,bankid1,number,3,,,,,,,,○,,,,,,,,,,○,○,,,○,○
15 ,管理番号1,bank_no1,varchar2,30,,,,,,,,○,,,,,,,,,,○,○,,,○,○
16 ,症例番号1,caseid1,varchar2,30,,,,,,,,,,,,,,,,,,○,○,,,○,○
17 ,バンク名2,bankid2,number,3,,,,,,,,,,,,,,,,,,○,○,,,○,○
18 ,管理番号2,bank_no2,varchar2,30,,,,,,,,,,,,,,,,,,○,○,,,○,○
19 ,症例番号2,caseid2,varchar2,30,,,,,,,,,,,,,,,,,,○,○,,,○,○
20 ,修正バンク名,bankname,varchar2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
