成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,TRUMPデータ管理,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.1 ,,,○,対象項目,,,,
,,,trump_master,,,,,,,,,,,,NIS+,,2019/5/17,,,,,●,キー項目(WHERE区の対象),,,,
説明,,,,,,,,,,,,,,,,,,,,,,◎,対象項目・キー項目両方となる項目,,,,
"エラーデータ : curr_flag = 0, err_flag = 1 (エラーデータの履歴は作らない)
正常データ(current)   : curr_flag = 0, err_flag = 0
正常履歴データ        : curr_flag = 1, err_flag = 0

シーケンス trump_master_seq",,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,項目名,項目シンボル名,型,桁数,精度,PK,FK,参照テーブル,参照カラム,UK,IDX,NOT NULL,初期値,"自動
採番",利用可能文字,,備考,,,,DBクラス自動生成用定義,,,,,,
,,,,,,,,,,,,,,,,,,,,,CORE,INS,UPD,DEL,HARD_DELETE,GET,SELECT
1 ,システムID,sysid,NUMBER,20,,,,,,1,,○,,,,,YYYYMMDDnnnnnn,,,,○,○,○,○,,○,○
2 ,操作ID,opeid,NUMBER,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
3 ,操作種別,sys_mode,NUMBER,2,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
4 ,RECID,recid,NUMBER,16,,1,,,,,,○,,,,,受付時値,,,,○,○,●,●,●,◎,○
5 ,処理日,sys_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
6 ,処理ユーザID,sys_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
7 ,作成日,reg_date,DATE,,,,,,,,,○,,,,,,,,,○,○,,,,○,○
8 ,作成ユーザID,reg_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,,,,○,○
9 ,更新日,upd_date,DATE,,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
10 ,更新ユーザID,upd_user_id,VARCHAR2,20,,,,,,,,○,,,,,,,,,○,○,○,○,,○,○
11 ,削除フラグ,del_flg,NUMBER,1,,,,,,,,○,0,,,,0 = 通常、1 =  論理削除,,,,○,○,○,○,,○,○
12 ,カレントフラグ,curr_flag,NUMBER,1,,,,,,1,,○,,,,,0=カレント、1=履歴,,,,,○,○,,,○,○
13 ,エラーフラグ,err_flag,NUMBER,1,,,,,,2,,○,,,,,0=正常、1=エラー,,,,,○,○,,,○,○
14 ,バンクID1,bankid1,NUMBER,3,,,,,,3,,○,,,,,現状では管理バンクIDが入ってくる可能性あり,,,,,○,○,,,○,○
15 ,管理番号1,bank_no1,VARCHAR2,16,,,,,,4,,○,,,,,,,,,,○,○,,,○,○
16 ,症例番号1,caseid1,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
17 ,バンクID2,bankid2,NUMBER,3,,,,,,,,,,,,,,,,,,○,○,,,○,○
18 ,管理番号2,bank_no2,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
19 ,症例番号2,caseid2,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
20 ,ファイル名,fname,VARCHAR2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
21 ,アップロード日時,upload_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
22 ,ダウンロード日時,download_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
23 ,移植日,trans_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
24 ,施設コード,hosp_code,VARCHAR2,20,,,,,,,,,,,,,,,,,,○,○,,,○,○
25 ,正バンクID1,bankid_ok1,NUMBER,3,,,,,,,,,,,,,エラーが解決された場合に正しいバンクIDが設定される。(バンクが入力するので必ず調整バンクIDが入る),,,,,○,○,,,○,○
26 ,正管理番号1,bank_no_ok1,VARCHAR2,16,,,,,,,,,,,,,エラーが解決された場合に正しいバンク管理番号が設定される。,,,,,○,○,,,○,○
27 ,正バンクID2,bankid_ok2,NUMBER,3,,,,,,,,,,,,,エラーが解決された場合に正しいバンクIDが設定される。※複数さい帯血のデータが存在する場合(バンクが入力するので必ず調整バンクIDが入る),,,,,○,○,,,○,○
28 ,正管理番号2,bank_no_ok2,VARCHAR2,16,,,,,,,,,,,,,エラーが解決された場合に正しいバンク管理番号が設定される。※複数さい帯血のデータが存在する場合,,,,,○,○,,,○,○
29 ,解決フラグ,ok_flag,NUMBER,1,,,,,,,,,,,,,0=OK、1=NG,,,,,○,○,,,○,○
